26.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2026년 누적,2026년 전분기 누적,2026년 1분기 연결,26.2Q,F&F,F&F Shanghai,FnF HONGKONG,F&F 베트남,빅텐츠,엔터테인머트,세르지오,단순합계,연결조정분개,연결조정분개,2026년 누적,2026년 전분기 누적,2026년 2분기 연결,26.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2026년 누적,2026년 전분기 누적,2026년 3분기 연결,26.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,,2026년 누적,2026년 전분기 누적,2026년 4분기 연결
Ⅰ.매출액,"396,770,288,842","258,540,056,726","20,662,713,081","133,758,569",0,"761,317,700","8,505,474,308","685,373,609,226",,,"505,616,173,458",,"505,616,173,458",Ⅰ.매출액,,,,,,,,,,,,,,Ⅰ.매출액,,,,,,,,,,,,,,Ⅰ.매출액,,,,,,,,,,,,,
제품매출,"393,778,668,434",0,0,0,0,0,0,"393,778,668,434","179,552,105,905",,"214,226,562,529",,"214,226,562,529",제품매출,,,,,,,,,,,,,,제품매출,,,,,,,,,,,,,,제품매출,,,,,,,,,,,,,
상품매출,"2,082,727,180","258,540,056,726","20,662,713,081",0,0,0,"6,076,220,865","287,361,717,852",0,,"287,361,717,852",,"287,361,717,852",상품매출,,,,,,,,,,,,,,상품매출,,,,,,,,,,,,,,상품매출,,,,,,,,,,,,,
수수료매출,"333,425,892",0,0,"133,758,569",0,0,0,"467,184,461","142,834,610",,"324,349,851",,"324,349,851",수수료매출,,,,,,,,,,,,,,수수료매출,,,,,,,,,,,,,,수수료매출,,,,,,,,,,,,,
물류매출,0,0,0,0,0,0,0,0,,,0,,0,물류매출,,,,,,,,,,,,,,물류매출,,,,,,,,,,,,,,물류매출,,,,,,,,,,,,,
임대매출,"70,856,796",0,0,0,0,0,0,"70,856,796",,,"70,856,796",,"70,856,796",임대매출,,,,,,,,,,,,,,임대매출,,,,,,,,,,,,,,임대매출,,,,,,,,,,,,,
기타매출,"504,610,540",0,0,0,0,"761,317,700","2,429,253,443","3,695,181,683","62,495,253",,"3,632,686,430",,"3,632,686,430",기타매출,,,,,,,,,,,,,,기타매출,,,,,,,,,,,,,,기타매출,,,,,,,,,,,,,
Ⅱ.매출원가,"145,093,356,692","203,777,800,995","9,671,179,051","115,046,874",0,"1,530,162,809","1,966,345,823","362,153,892,244",,,"175,882,872,584",,"175,882,872,584",Ⅱ.매출원가,,,,,,,,,,,,,,Ⅱ.매출원가,,,,,,,,,,,,,,Ⅱ.매출원가,,,,,,,,,,,,,
제품매출원가,"142,911,348,597",0,0,0,0,0,0,"142,911,348,597","213,448,980,046","186,155,972,785","170,204,355,858",,"170,204,355,858",제품매출원가,,,,,,,,,,,,,,제품매출원가,,,,,,,,,,,,,,제품매출원가,,,,,,,,,,,,,
기초제품재고액,,0,0,0,0,0,0,0,,,0,,0,기초제품재고액,,,,,,,,,,,,,,기초제품재고액,,,,,,,,,,,,,,기초제품재고액,,,,,,,,,,,,,
